Age,Attrition Status,Business Travel Frequency,Department,Distance From Home (km),Education Level,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Level,Job Role,Job Satisfaction,Marital Status,Monthly Income ($),Count Previous Companies,Works Overtime,Salary Hike (%),Relationship Satisfaction,Stock Option Level,Total Working Years,Training Times Last Year,Work-Life Balance,Years at Company,Years in Current Role,Years Since Last Promotion,Years with Current Manager,Age Group,Income Group,Distance Group,Companies Worked Group,Salary Hike Category,Experience Group,Training Frequency,Company Tenure Group,Role Tenure Group,Promotion Recency Group,Years With Current Manager Group
22,No,Never Travels,Research & Development,16,Associate,Medical,Very High,Male,Very High,Entry Level,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Medium,Level 2,1,2,Fair,1,0,0,0,18–25,Low (1k-5k),11-20,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
53,No,Rarely Travels,Sales,2,Masters,Life Sciences,Low,Female,Medium,Manager,Manager,Very High,Married,15427,2,No,16,High,No Stock,31,3,Good,25,8,3,7,46–55,Very High (15k-20K),0-5,2–3,Medium (16–20%),31–40,Medium (2–3),21+ yrs,6–10 yrs,1–3 yrs,6–10 yrs
38,No,Rarely Travels,Research & Development,2,Bachelors,Life Sciences,Very High,Male,High,Entry Level,Research Scientist,Very High,Single,3944,5,Yes,11,High,No Stock,6,3,Good,3,2,1,2,36–45,Low (1k-5k),0-5,4–5,Low (11–15%),6–10,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
24,No,Never Travels,Research & Development,11,Associate,Other,Low,Female,Very High,Mid Level,Manufacturing Director,High,Divorced,4011,0,No,18,Very High,Level 1,5,5,Fair,4,2,1,3,18–25,Low (1k-5k),11-20,0–1,Medium (16–20%),0–5,High (4–6),3–5 yrs,<3 yrs,Recent (<1yr),3–5 yrs
36,Yes,Rarely Travels,Sales,9,Masters,Life Sciences,High,Male,Medium,Entry Level,Sales Representative,Low,Single,3407,7,No,23,Medium,No Stock,10,4,Good,5,3,0,3,36–45,Low (1k-5k),6-10,6+,High (21–25%),6–10,High (4–6),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
34,No,Rarely Travels,Research & Development,7,Masters,Life Sciences,Low,Female,High,Senior Level,Research Director,Medium,Single,11994,0,No,11,High,No Stock,13,4,Good,12,6,2,11,26–35,High (10k-15k),6-10,0–1,Low (11–15%),11–20,High (4–6),11–20 yrs,6–10 yrs,1–3 yrs,11–15 yrs
21,No,Rarely Travels,Research & Development,15,Associate,Life Sciences,High,Male,High,Entry Level,Research Scientist,Very High,Single,1232,1,No,14,Very High,No Stock,0,6,Good,0,0,0,0,18–25,Low (1k-5k),11-20,0–1,Low (11–15%),0–5,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
34,Yes,Rarely Travels,Research & Development,6,High School,Medical,Medium,Male,High,Entry Level,Research Scientist,Low,Single,2960,2,No,11,High,No Stock,8,2,Good,4,2,1,3,26–35,Low (1k-5k),6-10,2–3,Low (11–15%),6–10,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),3–5 yrs
53,No,Rarely Travels,Research & Development,5,Bachelors,Other,High,Female,High,Executive,Manager,High,Divorced,19094,4,No,11,Very High,Level 1,26,3,Fair,14,13,4,8,46–55,Very High (15k-20K),0-5,4–5,Low (11–15%),21–30,Medium (2–3),11–20 yrs,11–15 yrs,4–5 yrs,6–10 yrs
32,Yes,Frequently Travels,Research & Development,16,High School,Life Sciences,Medium,Female,Low,Entry Level,Research Scientist,Low,Single,3919,1,Yes,22,Medium,No Stock,10,5,Good,10,2,6,7,26–35,Low (1k-5k),11-20,0–1,High (21–25%),6–10,High (4–6),6–10 yrs,<3 yrs,6–10 yrs,6–10 yrs
42,No,Rarely Travels,Sales,8,Masters,Marketing,High,Male,High,Mid Level,Sales Executive,Medium,Married,6825,0,No,11,Very High,Level 1,10,2,Good,9,7,4,2,36–45,Medium (5k-10k),6-10,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,4–5 yrs,<3 yrs
44,No,Rarely Travels,Research & Development,7,Masters,Medical,Low,Female,Medium,Senior Level,Healthcare Representative,Very High,Married,10248,3,No,14,Very High,Level 1,24,4,Good,22,6,5,17,36–45,High (10k-15k),6-10,2–3,Low (11–15%),21–30,High (4–6),21+ yrs,6–10 yrs,4–5 yrs,16–18 yrs
46,No,Rarely Travels,Sales,2,Masters,Marketing,Medium,Female,High,Executive,Manager,Low,Single,18947,3,No,12,Very High,No Stock,22,2,Fair,2,2,2,1,46–55,Very High (15k-20K),0-5,2–3,Low (11–15%),21–30,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
33,No,Rarely Travels,Research & Development,2,Bachelors,Medical,High,Male,High,Entry Level,Laboratory Technician,Very High,Single,2496,4,No,11,Very High,No Stock,7,3,Good,1,1,0,0,26–35,Low (1k-5k),0-5,4–5,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
44,No,Rarely Travels,Research & Development,10,Masters,Other,Very High,Male,High,Mid Level,Healthcare Representative,Very High,Married,6465,2,Yes,13,Very High,No Stock,9,5,Best,4,2,1,3,36–45,Medium (5k-10k),6-10,2–3,Low (11–15%),6–10,High (4–6),3–5 yrs,<3 yrs,Recent (<1yr),3–5 yrs
30,No,Rarely Travels,Research & Development,9,Associate,Medical,Very High,Male,Medium,Entry Level,Laboratory Technician,High,Single,2206,1,No,13,Low,No Stock,10,5,Good,10,0,1,8,26–35,Low (1k-5k),6-10,0–1,Low (11–15%),6–10,High (4–6),6–10 yrs,<3 yrs,Recent (<1yr),6–10 yrs
39,Yes,Rarely Travels,Sales,5,Bachelors,Technical Degree,Very High,Male,High,Mid Level,Sales Representative,Very High,Married,2086,3,No,14,High,Level 1,19,6,Best,1,0,0,0,36–45,Low (1k-5k),0-5,2–3,Low (11–15%),11–20,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
24,Yes,Rarely Travels,Research & Development,1,Bachelors,Medical,Medium,Male,High,Entry Level,Research Scientist,Very High,Married,2293,2,Yes,16,Low,Level 1,6,2,Fair,2,0,2,0,18–25,Low (1k-5k),0-5,2–3,Medium (16–20%),6–10,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
43,No,Rarely Travels,Research & Development,2,Associate,Medical,Very High,Female,Very High,Entry Level,Research Scientist,High,Divorced,2645,1,No,12,Very High,Level 2,6,3,Fair,5,3,1,4,36–45,Low (1k-5k),0-5,0–1,Low (11–15%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
50,Yes,Rarely Travels,Sales,3,Associate,Marketing,Low,Male,Medium,Entry Level,Sales Representative,High,Married,2683,1,Yes,14,High,No Stock,3,2,Good,3,2,0,2,46–55,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
35,No,Rarely Travels,Sales,2,Bachelors,Marketing,Very High,Female,High,Entry Level,Sales Representative,Very High,Married,2014,1,No,13,Low,No Stock,2,3,Good,2,2,2,2,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
36,No,Rarely Travels,Research & Development,5,Masters,Life Sciences,Medium,Female,Medium,Entry Level,Research Scientist,Low,Married,3419,9,Yes,14,Very High,Level 1,6,3,Best,1,1,0,0,36–45,Low (1k-5k),0-5,6+,Low (11–15%),6–10,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
33,No,Frequently Travels,Sales,1,Bachelors,Life Sciences,High,Female,Very High,Mid Level,Sales Executive,Low,Married,5376,2,No,19,Low,Level 2,10,3,Good,5,3,1,3,26–35,Medium (5k-10k),0-5,2–3,Medium (16–20%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
35,No,Rarely Travels,Research & Development,4,Associate,Other,High,Male,High,Entry Level,Laboratory Technician,Very High,Divorced,1951,1,No,12,High,Level 1,1,3,Good,1,0,0,0,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
27,No,Rarely Travels,Research & Development,2,Masters,Life Sciences,Very High,Female,High,Entry Level,Laboratory Technician,Low,Divorced,2341,1,No,13,Very High,Level 1,1,6,Good,1,0,0,0,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
26,Yes,Rarely Travels,Research & Development,25,Bachelors,Life Sciences,Low,Male,Low,Entry Level,Laboratory Technician,High,Single,2293,1,No,12,High,No Stock,1,2,Fair,1,0,0,1,26–35,Low (1k-5k),21-30,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
27,No,Frequently Travels,Sales,8,Bachelors,Life Sciences,Very High,Male,High,Senior Level,Sales Executive,High,Single,8726,1,No,15,Very High,No Stock,9,0,Good,9,8,1,7,26–35,Medium (5k-10k),6-10,0–1,Low (11–15%),6–10,Low (0–1),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
30,No,Frequently Travels,Research & Development,1,Associate,Medical,High,Female,High,Mid Level,Laboratory Technician,Very High,Single,4011,1,No,23,Very High,No Stock,12,2,Good,12,8,3,7,26–35,Low (1k-5k),0-5,0–1,High (21–25%),11–20,Medium (2–3),11–20 yrs,6–10 yrs,1–3 yrs,6–10 yrs
41,Yes,Rarely Travels,Research & Development,12,Bachelors,Technical Degree,Medium,Female,High,Executive,Research Director,High,Married,19545,1,No,12,Very High,No Stock,23,0,Good,22,15,15,8,36–45,Very High (15k-20K),11-20,0–1,Low (11–15%),21–30,Low (0–1),21+ yrs,11–15 yrs,11–15 yrs,6–10 yrs
34,No,Never Travels,Sales,23,Masters,Marketing,Medium,Male,High,Mid Level,Sales Executive,High,Single,4568,0,No,20,High,No Stock,10,2,Good,9,5,8,7,26–35,Low (1k-5k),21-30,0–1,Medium (16–20%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,6–10 yrs,6–10 yrs
37,No,Rarely Travels,Research & Development,19,Associate,Life Sciences,Medium,Male,High,Entry Level,Research Scientist,Medium,Married,3022,4,No,21,Low,No Stock,8,1,Good,1,0,0,0,36–45,Low (1k-5k),11-20,4–5,High (21–25%),6–10,Low (0–1),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
46,No,Frequently Travels,Sales,5,Masters,Marketing,Low,Male,High,Mid Level,Sales Executive,Very High,Single,5772,4,Yes,21,High,No Stock,14,4,Good,9,6,0,8,46–55,Medium (5k-10k),0-5,4–5,High (21–25%),11–20,High (4–6),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
35,No,Rarely Travels,Research & Development,8,High School,Life Sciences,Very High,Male,Very High,Entry Level,Laboratory Technician,Very High,Married,2269,1,No,19,Very High,No Stock,1,2,Good,1,0,0,1,26–35,Low (1k-5k),6-10,0–1,Medium (16–20%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
48,Yes,Rarely Travels,Research & Development,1,Associate,Life Sciences,Low,Male,Medium,Senior Level,Laboratory Technician,High,Single,5381,9,Yes,13,Very High,No Stock,23,2,Good,1,0,0,0,46–55,Medium (5k-10k),0-5,6+,Low (11–15%),21–30,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
28,Yes,Rarely Travels,Research & Development,5,Masters,Technical Degree,High,Male,High,Entry Level,Laboratory Technician,High,Single,3441,1,Yes,13,High,No Stock,2,3,Fair,2,2,2,2,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
44,No,Rarely Travels,Sales,1,Doctorate,Marketing,Medium,Female,High,Mid Level,Sales Executive,Low,Divorced,5454,5,Yes,21,High,Level 1,9,2,Fair,4,3,1,3,36–45,Medium (5k-10k),0-5,4–5,High (21–25%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
35,No,Never Travels,Research & Development,11,Associate,Medical,High,Male,Medium,Senior Level,Healthcare Representative,Low,Married,9884,2,Yes,13,High,Level 1,10,3,Good,4,0,2,3,26–35,Medium (5k-10k),11-20,2–3,Low (11–15%),6–10,Medium (2–3),3–5 yrs,<3 yrs,1–3 yrs,3–5 yrs
26,No,Rarely Travels,Sales,23,Bachelors,Marketing,High,Female,Medium,Mid Level,Sales Executive,Very High,Married,4157,7,Yes,19,High,Level 1,5,2,Fair,2,2,0,0,26–35,Low (1k-5k),21-30,6+,Medium (16–20%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
33,No,Frequently Travels,Research & Development,1,Associate,Life Sciences,Low,Female,High,Senior Level,Research Director,Very High,Single,13458,1,Yes,12,High,No Stock,15,1,Good,15,14,8,12,26–35,High (10k-15k),0-5,0–1,Low (11–15%),11–20,Low (0–1),11–20 yrs,11–15 yrs,6–10 yrs,11–15 yrs
35,No,Frequently Travels,Sales,18,Doctorate,Life Sciences,Medium,Male,High,Senior Level,Sales Executive,Low,Married,9069,1,No,22,Very High,Level 1,9,3,Fair,9,8,1,8,26–35,Medium (5k-10k),11-20,0–1,High (21–25%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
35,No,Rarely Travels,Research & Development,23,Masters,Medical,High,Female,High,Entry Level,Laboratory Technician,Low,Married,4014,3,Yes,15,High,Level 1,4,3,Good,2,2,2,2,26–35,Low (1k-5k),21-30,2–3,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,1–3 yrs,<3 yrs
31,No,Rarely Travels,Research & Development,7,Masters,Life Sciences,Very High,Male,High,Mid Level,Laboratory Technician,Very High,Divorced,5915,3,No,22,Very High,Level 1,10,3,Fair,7,7,1,7,26–35,Medium (5k-10k),6-10,2–3,High (21–25%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
37,No,Rarely Travels,Research & Development,1,Masters,Life Sciences,Low,Male,Medium,Mid Level,Manufacturing Director,High,Divorced,5993,1,No,18,High,Level 1,7,2,Best,7,5,0,7,36–45,Medium (5k-10k),0-5,0–1,Medium (16–20%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,Recent (<1yr),6–10 yrs
32,No,Rarely Travels,Research & Development,1,Bachelors,Medical,Low,Male,High,Mid Level,Manufacturing Director,Very High,Married,6162,1,Yes,22,Medium,Level 1,9,3,Good,9,8,7,8,26–35,Medium (5k-10k),0-5,0–1,High (21–25%),6–10,Medium (2–3),6–10 yrs,6–10 yrs,6–10 yrs,6–10 yrs
38,No,Frequently Travels,Research & Development,29,Doctorate,Life Sciences,Very High,Female,High,Mid Level,Laboratory Technician,Very High,Single,2406,1,No,11,Very High,No Stock,10,2,Good,10,3,9,9,36–45,Low (1k-5k),21-30,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,6–10 yrs,6–10 yrs
50,No,Rarely Travels,Research & Development,7,Associate,Medical,Medium,Female,Medium,Executive,Research Director,High,Divorced,18740,5,Yes,12,Very High,Level 1,29,2,Fair,27,3,13,8,46–55,Very High (15k-20K),6-10,4–5,Low (11–15%),21–30,Medium (2–3),21+ yrs,3–5 yrs,11–15 yrs,6–10 yrs
59,No,Rarely Travels,Sales,25,Bachelors,Life Sciences,Low,Female,High,Senior Level,Sales Executive,Low,Single,7637,7,No,11,Very High,No Stock,28,3,Fair,21,16,7,9,56-60,Medium (5k-10k),21-30,6+,Low (11–15%),21–30,Medium (2–3),21+ yrs,16–18 yrs,6–10 yrs,6–10 yrs
36,No,Rarely Travels,Research & Development,8,Bachelors,Technical Degree,High,Female,High,Senior Level,Healthcare Representative,High,Divorced,10096,1,No,13,Medium,Level 3,17,2,Good,17,14,12,8,36–45,High (10k-15k),6-10,0–1,Low (11–15%),11–20,Medium (2–3),11–20 yrs,11–15 yrs,11–15 yrs,6–10 yrs
55,No,Rarely Travels,Research & Development,8,Bachelors,Medical,Very High,Female,High,Manager,Manager,High,Divorced,14756,2,Yes,14,High,Level 3,21,2,Good,5,0,0,2,46–55,High (10k-15k),6-10,2–3,Low (11–15%),21–30,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
36,No,Frequently Travels,Research & Development,11,Bachelors,Life Sciences,Medium,Male,Medium,Mid Level,Manufacturing Director,Medium,Single,6499,1,No,13,High,No Stock,6,3,Good,6,5,0,3,36–45,Medium (5k-10k),11-20,0–1,Low (11–15%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
45,No,Rarely Travels,Research & Development,7,Bachelors,Life Sciences,Medium,Male,High,Senior Level,Research Scientist,Low,Divorced,9724,2,No,17,High,Level 1,25,2,Good,1,0,0,0,36–45,Medium (5k-10k),6-10,2–3,Medium (16–20%),21–30,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
35,No,Frequently Travels,Research & Development,1,Bachelors,Medical,Medium,Male,High,Entry Level,Research Scientist,Low,Married,2194,4,No,13,Very High,Level 1,5,2,Fair,3,2,1,2,26–35,Low (1k-5k),0-5,4–5,Low (11–15%),0–5,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
36,Yes,Rarely Travels,Research & Development,9,Bachelors,Medical,Very High,Male,Medium,Entry Level,Research Scientist,High,Married,3388,0,Yes,17,Low,Level 1,2,0,Fair,1,0,0,0,36–45,Low (1k-5k),6-10,0–1,Medium (16–20%),0–5,Low (0–1),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
59,No,Frequently Travels,Sales,1,High School,Life Sciences,Low,Female,Medium,Mid Level,Sales Executive,High,Single,5473,7,No,11,Very High,No Stock,20,2,Fair,4,3,1,3,56-60,Medium (5k-10k),0-5,6+,Low (11–15%),11–20,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
29,No,Rarely Travels,Research & Development,2,Bachelors,Life Sciences,High,Male,High,Entry Level,Research Scientist,Medium,Married,2703,0,No,23,Very High,Level 1,6,3,Good,5,4,0,4,26–35,Low (1k-5k),0-5,0–1,High (21–25%),6–10,Medium (2–3),3–5 yrs,3–5 yrs,Recent (<1yr),3–5 yrs
31,No,Rarely Travels,Research & Development,1,Masters,Medical,High,Male,High,Entry Level,Research Scientist,Medium,Single,2501,1,No,17,Medium,No Stock,1,4,Good,1,1,1,0,26–35,Low (1k-5k),0-5,0–1,Medium (16–20%),0–5,High (4–6),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
32,No,Rarely Travels,Research & Development,1,Bachelors,Life Sciences,Medium,Male,High,Mid Level,Research Scientist,Medium,Married,6220,1,No,17,Medium,Level 2,10,3,Good,10,4,0,9,26–35,Medium (5k-10k),0-5,0–1,Medium (16–20%),6–10,Medium (2–3),6–10 yrs,3–5 yrs,Recent (<1yr),6–10 yrs
36,No,Rarely Travels,Research & Development,6,Bachelors,Life Sciences,Medium,Female,Very High,Entry Level,Laboratory Technician,Very High,Married,3038,3,No,12,Medium,No Stock,5,3,Good,1,0,0,0,36–45,Low (1k-5k),6-10,2–3,Low (11–15%),0–5,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
31,No,Rarely Travels,Research & Development,8,Masters,Life Sciences,High,Female,High,Mid Level,Manufacturing Director,Very High,Single,4424,1,No,23,Very High,No Stock,11,2,Good,11,7,1,8,26–35,Low (1k-5k),6-10,0–1,High (21–25%),11–20,Medium (2–3),11–20 yrs,6–10 yrs,Recent (<1yr),6–10 yrs
35,No,Rarely Travels,Sales,1,Masters,Marketing,High,Male,Medium,Mid Level,Sales Executive,Low,Single,4312,0,No,14,Medium,No Stock,16,2,Good,15,13,2,8,26–35,Low (1k-5k),0-5,0–1,Low (11–15%),11–20,Medium (2–3),11–20 yrs,11–15 yrs,1–3 yrs,6–10 yrs
45,No,Rarely Travels,Research & Development,6,Masters,Other,Very High,Male,High,Senior Level,Research Director,Low,Married,13245,4,Yes,14,Medium,No Stock,17,3,Best,0,0,0,0,36–45,High (10k-15k),6-10,4–5,Low (11–15%),11–20,Medium (2–3),<3 yrs,<3 yrs,Recent (<1yr),<3 yrs
37,No,Rarely Travels,Research & Development,7,Masters,Medical,Low,Male,High,Senior Level,Research Director,High,Single,13664,4,No,13,Low,No Stock,16,3,Best,5,2,0,2,36–45,High (10k-15k),6-10,4–5,Low (11–15%),11–20,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
46,No,Rarely Travels,Human Resources,5,Associate,Medical,Medium,Male,High,Mid Level,Human Resources,Medium,Divorced,5021,8,Yes,22,Very High,Level 1,16,2,Good,4,2,0,2,46–55,Medium (5k-10k),0-5,6+,High (21–25%),11–20,Medium (2–3),3–5 yrs,<3 yrs,Recent (<1yr),<3 yrs
30,No,Rarely Travels,Research & Development,1,High School,Life Sciences,Very High,Male,Medium,Mid Level,Laboratory Technician,Very High,Married,5126,1,Yes,12,High,Level 2,10,1,Fair,10,8,3,0,26–35,Medium (5k-10k),0-5,0–1,Low (11–15%),6–10,Low (0–1),6–10 yrs,6–10 yrs,1–3 yrs,<3 yrs
